AirportCode,AirportName,Average_0_15_PassengerCount,Average_121_PassengerCount,Average_16_30_PassengerCount,Average_31_45_PassengerCount,Average_46_60_PassengerCount,Average_61_90_PassengerCount,Average_91_120_PassengerCount,AverageWait,BoothsUsed,ExcludedPassengerCount,FlightCount,FlightDate,GlobalEntryPassengerCount,HourRange,LastUpdated,MaxWait,NonUsaPassengerAverageWait,NonUsaPassengerCount,NonUsaPassengerMaxWait,SiteId,TerminalName,TotalPassengerCount,UsaPassengerAverageWait,UsaPassengerCount,UsaPassengerMaxWait
LAX,Los Angeles International Airport,13,0,0,0,0,0,0,0,1,1,1,2023-01-01,0,1200 - 1300,2024-08-05 10:10:53,1,0,0,0,A27F,Atlantic Aviation GAF,14,0,14,1
LAX,Los Angeles International Airport,20,0,0,0,0,0,0,1,2,4,2,2023-01-01,0,1400 - 1500,2024-08-05 10:10:53,5,3,7,5,A27F,Atlantic Aviation GAF,24,0,17,1
LAX,Los Angeles International Airport,6,0,0,0,0,0,0,1,1,1,1,2023-01-01,0,1800 - 1900,2024-08-05 10:10:53,3,1,7,3,A27F,Atlantic Aviation GAF,7,0,0,0
LAX,Los Angeles International Airport,204,0,232,133,10,0,0,21,6,15,3,2023-01-01,56,1000 - 1100,2024-08-05 10:10:53,49,27,163,49,A278,Satellite 7,594,19,431,49
LAX,Los Angeles International Airport,42,0,103,161,0,0,0,28,5,8,2,2023-01-01,23,1100 - 1200,2024-08-05 10:10:53,45,32,107,45,A278,Satellite 7,314,26,207,45
LAX,Los Angeles International Airport,413,0,160,0,0,0,0,11,6,12,3,2023-01-01,96,1800 - 1900,2024-08-05 10:10:53,28,14,116,28,A278,Satellite 7,585,10,469,27
LAX,Los Angeles International Airport,211,0,110,0,0,0,0,11,6,3,2,2023-01-01,61,2000 - 2100,2024-08-05 10:10:53,23,14,41,23,A278,Satellite 7,324,11,283,23
LAX,Los Angeles International Airport,256,0,190,232,173,113,0,33,12,25,4,2023-01-01,166,0500 - 0600,2024-08-05 10:10:53,74,35,261,74,A273,Tom Bradley International Terminal,989,32,728,74
LAX,Los Angeles International Airport,226,0,386,472,59,0,0,27,20,30,6,2023-01-01,181,0600 - 0700,2024-08-05 10:10:53,55,36,340,55,A273,Tom Bradley International Terminal,1173,24,833,53
LAX,Los Angeles International Airport,311,5,387,409,281,247,157,42,22,53,6,2023-01-01,161,0700 - 0800,2024-08-05 10:10:53,129,58,865,129,A273,Tom Bradley International Terminal,1850,29,985,124
LAX,Los Angeles International Airport,123,42,211,55,0,68,274,61,23,27,3,2023-01-01,76,0800 - 0900,2024-08-05 10:10:53,129,95,431,129,A273,Tom Bradley International Terminal,800,23,369,124
LAX,Los Angeles International Airport,258,0,476,93,14,161,54,33,22,33,5,2023-01-01,163,0900 - 1000,2024-08-05 10:10:53,102,52,424,102,A273,Tom Bradley International Terminal,1089,21,665,102
LAX,Los Angeles International Airport,196,0,434,196,132,0,0,26,23,23,5,2023-01-01,123,1000 - 1100,2024-08-05 10:10:53,59,40,335,59,A273,Tom Bradley International Terminal,981,20,646,57
LAX,Los Angeles International Airport,525,0,379,140,88,118,0,24,25,40,7,2023-01-01,83,1100 - 1200,2024-08-05 10:10:53,76,34,567,76,A273,Tom Bradley International Terminal,1290,17,723,73
LAX,Los Angeles International Airport,408,0,532,462,297,316,0,35,29,58,8,2023-01-01,275,1200 - 1300,2024-08-05 10:10:53,83,55,640,83,A273,Tom Bradley International Terminal,2073,26,1433,82
LAX,Los Angeles International Airport,345,0,295,482,665,541,0,42,37,62,9,2023-01-01,291,1300 - 1400,2024-08-05 10:10:53,90,56,813,90,A273,Tom Bradley International Terminal,2390,36,1577,90
LAX,Los Angeles International Airport,461,0,635,141,91,52,0,22,37,41,6,2023-01-01,178,1400 - 1500,2024-08-05 10:10:53,68,35,491,68,A273,Tom Bradley International Terminal,1421,16,930,61
LAX,Los Angeles International Airport,380,0,918,644,43,1,0,25,36,61,9,2023-01-01,267,1500 - 1600,2024-08-05 10:10:53,61,32,638,61,A273,Tom Bradley International Terminal,2047,22,1409,58
