"","x","id"
"1","TSA",1
"2","4/1",2
"3","",3
"4","Tot",4
"5","Hou",5
"6","Pax",6
"7","Dat",7
"8","KCM",8
"9","Day",9
"10","PAX",10
"11","",11
"12","ANC",12
"13","",13
"14","F A",14
"15","ATL",15
"16","Mai",16
"17","",17
"18","BNA",18
"19","",19
"20","BOS",20
"21","",21
"22","BQN",22
"23","",23
"24","BTV",24
"25","",25
"26","CVG",26
"27","",27
"28","DEN",28
"29","",29
"30","Blu",30
"31","DTW",31
"32","Red",32
"33","",33
"34","ELP",34
"35","",35
"36","CKP",36
"37","",37
"38","EWR",38
"39","",39
"40","CKP",40
"41","",41
"42","FAI",42
"43","",43
"44","FAT",44
"45","",45
"46","GSN",46
"47","",47
"48","GUM",48
"49","",49
"50","IAD",50
"51","",51
"52","IND",52
"53","",53
"54","JAX",54
"55","",55
"56","Ter",56
"57","",57
"58","Ter",58
"59","",59
"60","JFK",60
"61","",61
"62","Ter",62
"63","",63
"64","Ter",64
"65","",65
"66","4/6",66
"67","",67
"68","LAS",68
"69","",69
"70","Ter",70
"71","",71
"72","TBI",72
"73","",73
"74","Ter",74
"75","LAX",75
"76","Ter",76
"77","",77
"78","Ter",78
"79","",79
"80","TB-",80
"81","LGA",81
"82","TC ",82
"83","",83
"84","LGB",84
"85","",85
"86","MCI",86
"87","",87
"88","EAS",88
"89","MCO",89
"90","WES",90
"91","",91
"92","MDW",92
"93","",93
"94","Int",94
"95","MEM",95
"96","MEM",96
"97","",97
"98","2 2",98
"99","MIA",99
"100","9 4",100
"101","",101
"102","MSP",102
"103","",103
"104","ONT",104
"105","",105
"106","10 ",106
"107","",107
"108","ORD",108
"109","",109
"110","6A ",110
"111","",111
"112","PDX",112
"113","",113
"114","T-3",114
"115","PHX",115
"116","T-4",116
"117","",117
"118","PIT",118
"119","",119
"120","RNO",120
"121","",121
"122","",122
"123","",123
"124","1",124
